Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History,History 1211,Historical Fiction 792,Historical 509,North American Hi... 218,American History 9,Presidents 3,European History 2,Russian History  1,Western 34,,,,,,,,,,,,,,,,,,,
Social Science,Museology  3,Sociology  160,Culture 71,Social Science  32,Anthropology  31,,,,,,,,,,,,,,,,,,,,,,,
Cultural,Cultural 980,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,Philosophy 246,Humanities  20,,,,,,,,,,,,,,,,,,,,,,,,,,
Youth,Young Adult  515,Childrens  247,New Adult 54,School Stories 6,School 2,Kids 3,,,,,,,,,,,,,,,,,,,,,,
Social Issues,Social Movements  15,Social Issues 13,Social Justice 1,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,Womens Fiction 187,Feminism  74,Womens  55,Gender  17,,,,,,,,,,,,,,,,,,,,,,,,
Family,Family 112,Parenting 50,Marriage  15,,,,,,,,,,,,,,,,,,,,,,,,,
Sexuality,Glbt 101,Sexuality 17,Gay Romance  3,Queer  2,M M Romance  1,Gender and Sexuality 1,,,,,,,,,,,,,,,,,,,,,,
Romance,Romance  494,Adult Fiction  259,Relationships 37,Love  18,Erotica  7,Romantic 2,Contemporary Romance 1,Category Romance 1,Historical Romance 1,,,,,,,,,,,,,,,,,,,
Business,Business 145,Buisness  18,Leadership  15,Management 6,,,,,,,,,,,,,,,,,,,,,,,,
Sports,Sports and Games  93,Sports  53,Football  10,Games  2,Soccer 4,,,,,,,,,,,,,,,,,,,,,,,
Science,Science  371,Science Fiction  275,Psychology 194,Biology 57,Science Nature 7,Geography  7,Space  5,Geology  1,Physics  1,,,,,,,,,,,,,,,,,,,
Technology,Computers 10,Artificial Intelligence  5,Computer Science 8,Neuroscience 5,Internet 1,,,,,,,,,,,,,,,,,,,,,,,
Race,Race  51,Native Americans 1,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantasy,Fantasy  465,Science Fiction  275,Science Fiction Fantasy 55,,Shapeshifters  8,Fairies  6,Paranormal  77,Mythology  2,Fairy Tales  2,Superheroes  6,Mermaids 1,,,,,,,,,,,,,,,,,
War,War  333,Military  50,World War II  35,,,,,,,,,,,,,,,,,,,,,,,,,
Military History,Military History  34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventure,Thriller 248,Adventure  185,Suspense 105,Spy Thriller  48,Action  33,,,,,,,,,,,,,,,,,,,,,,,
Crime/Mystery,Mystery  582,Crime 68,,,,,,,,,,,,,,,,,,,,,,,,,,
Comedy,Humor  271,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts,Art  150,Music  112,Sequential Art  71,Design  16,Architecture  13,Crafts 4,Art and Photography  2,,,,,,,,,,,,,,,,,,,,,
Leisure,Gardening  8,Travel 189,Food and Drink  79,Crafts 4,,,,,,,,,,,,,,,,,,,,,,,,
Economics,Economics  148,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government,Politics 503,Law 38,History and Politics 2,,,,,,,,,,,,,,,,,,,,,,,,,
Environment,Environment 99,Animals 95,Nature 7,Wildlife 1,,,,,,,,,,,,,,,,,,,,,,,,
Dark,Apocalyptic 29,Gothic  23,Death 17,Dark 9,Tragedy  2,Horror 106,,,,,,,,,,,,,,,,,,,,,,
Health/Body,Health  95,Medical 37,Fat  1,Doctors  1,Mental Health 17,Disability 4,,,,,,,,,,,,,,,,,,,,,,
American,New York  64,American  53,United States 14,,,,,,,,,,,,,,,,,,,,,,,,,
European Lit,European Literature  311,Russia 1,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Lit,Asian Literature  36,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirituality,Religion 195,Spirituality  46,Christian 27,Christian Fiction 12,Judaism 10,Christianity  10,Church,Amish  1,Islam  1,,,,,,,,,,,,,,,,,,,
Discard,Fiction 2592,Nonfiction 2217,Contemporary 902,Literature 650,Novels 468,Literary Fiction 433,Short Stories  341,Writing,Adult  243,Classics 220,Poetry 179,Academic 151,Realistic Fiction  129,Book Club 67,Reference 59,Drama 58,Criticism 53,Anthologies 34,Plays 33,Novella 17,Modern  17,Roman 15,Retellings  12,Media Tie In  24,Nobel Prize 11,Biography,Biography  755,Biography Memoir 175,Autobiography  577,Female Authors 8, 311,Textbooks 2,Folk Tales 2,Cultural 5,,,,,,,,,,,,,,,,,,,,,,,,
Fiction,Literary Fiction 433,Adult Fiction  259,Science Fiction  275,Fiction 2592,Historical Fiction 792,Womens Fiction 187,Realistic Fiction  129,Science Fiction Fantasy 55,Christian Fiction 12,,,,,,,,,,,,,,,,,,,
Nonfiction,Nonfiction,
